{'loss': 7.4971, 'grad_norm': 6.497195720672607, 'learning_rate': 1.9982222222222224e-05, 'epoch': 0.0}
{'loss': 2.4774, 'grad_norm': 3.3710014820098877, 'learning_rate': 1.6573333333333336e-05, 'epoch': 0.52}
{'loss': 2.5155, 'grad_norm': 3.935605049133301, 'learning_rate': 1.6551111111111114e-05, 'epoch': 0.52}
{'loss': 2.471, 'grad_norm': 2.1184732913970947, 'learning_rate': 1.652888888888889e-05, 'epoch': 0.52}
{'loss': 2.4235, 'grad_norm': 1.8262220621109009, 'learning_rate': 1.650666666666667e-05, 'epoch': 0.53}
{'loss': 2.4753, 'grad_norm': 2.8761367797851562, 'learning_rate': 1.6484444444444447e-05, 'epoch': 0.53}
{'loss': 2.5441, 'grad_norm': 2.2674665451049805, 'learning_rate': 1.6462222222222224e-05, 'epoch': 0.53}
{'loss': 2.4478, 'grad_norm': 2.608954906463623, 'learning_rate': 1.6440000000000002e-05, 'epoch': 0.54}
{'loss': 2.4823, 'grad_norm': 3.3560032844543457, 'learning_rate': 1.641777777777778e-05, 'epoch': 0.54}
{'loss': 2.4667, 'grad_norm': 2.6828413009643555, 'learning_rate': 1.6395555555555557e-05, 'epoch': 0.54}
{'loss': 2.4728, 'grad_norm': 1.8237098455429077, 'learning_rate': 1.6373333333333335e-05, 'epoch': 0.55}
{'loss': 2.4819, 'grad_norm': 2.773142099380493, 'learning_rate': 1.6351111111111112e-05, 'epoch': 0.55}
{'loss': 2.3994, 'grad_norm': 2.3090455532073975, 'learning_rate': 1.632888888888889e-05, 'epoch': 0.55}
{'loss': 2.4899, 'grad_norm': 2.292346477508545, 'learning_rate': 1.6306666666666668e-05, 'epoch': 0.56}
{'loss': 2.4731, 'grad_norm': 1.8416746854782104, 'learning_rate': 1.6284444444444445e-05, 'epoch': 0.56}
{'loss': 2.447, 'grad_norm': 2.3091835975646973, 'learning_rate': 1.6262222222222223e-05, 'epoch': 0.56}
{'loss': 2.4871, 'grad_norm': 3.403008222579956, 'learning_rate': 1.6240000000000004e-05, 'epoch': 0.57}
{'loss': 2.3078, 'grad_norm': 2.672508716583252, 'learning_rate': 1.6217777777777778e-05, 'epoch': 0.57}
{'loss': 2.447, 'grad_norm': 5.772092819213867, 'learning_rate': 1.619555555555556e-05, 'epoch': 0.57}
{'loss': 2.46, 'grad_norm': 3.3410427570343018, 'learning_rate': 1.6173333333333333e-05, 'epoch': 0.58}
{'loss': 2.4137, 'grad_norm': 1.927206039428711, 'learning_rate': 1.6151111111111114e-05, 'epoch': 0.58}
{'loss': 2.5068, 'grad_norm': 2.0319056510925293, 'learning_rate': 1.612888888888889e-05, 'epoch': 0.58}
{'loss': 2.3542, 'grad_norm': 2.523345708847046, 'learning_rate': 1.610666666666667e-05, 'epoch': 0.59}
{'loss': 2.4198, 'grad_norm': 1.9346883296966553, 'learning_rate': 1.6084444444444444e-05, 'epoch': 0.59}
{'loss': 2.4657, 'grad_norm': 4.374552249908447, 'learning_rate': 1.6062222222222225e-05, 'epoch': 0.59}
{'loss': 2.4535, 'grad_norm': 2.559776544570923, 'learning_rate': 1.6040000000000002e-05, 'epoch': 0.6}
{'loss': 2.4463, 'grad_norm': 2.5630476474761963, 'learning_rate': 1.601777777777778e-05, 'epoch': 0.6}
{'loss': 2.4616, 'grad_norm': 2.1544651985168457, 'learning_rate': 1.5995555555555558e-05, 'epoch': 0.6}
{'loss': 2.4723, 'grad_norm': 2.233186721801758, 'learning_rate': 1.5973333333333335e-05, 'epoch': 0.61}
{'loss': 2.4387, 'grad_norm': 1.6907175779342651, 'learning_rate': 1.5951111111111113e-05, 'epoch': 0.61}
{'loss': 2.4047, 'grad_norm': 3.4686920642852783, 'learning_rate': 1.592888888888889e-05, 'epoch': 0.61}
{'loss': 2.4435, 'grad_norm': 3.453831434249878, 'learning_rate': 1.5906666666666668e-05, 'epoch': 0.62}
{'loss': 2.4266, 'grad_norm': 2.107001543045044, 'learning_rate': 1.5884444444444446e-05, 'epoch': 0.62}
{'loss': 2.4465, 'grad_norm': 2.3670270442962646, 'learning_rate': 1.5862222222222223e-05, 'epoch': 0.62}
{'loss': 2.4763, 'grad_norm': 4.896623611450195, 'learning_rate': 1.584e-05, 'epoch': 0.63}
{'loss': 2.386, 'grad_norm': 3.217332363128662, 'learning_rate': 1.581777777777778e-05, 'epoch': 0.63}
{'loss': 2.4974, 'grad_norm': 1.7098268270492554, 'learning_rate': 1.5795555555555556e-05, 'epoch': 0.63}
{'loss': 2.3822, 'grad_norm': 1.700758695602417, 'learning_rate': 1.5773333333333334e-05, 'epoch': 0.64}
{'loss': 2.4406, 'grad_norm': 2.882793664932251, 'learning_rate': 1.575111111111111e-05, 'epoch': 0.64}
{'loss': 2.4788, 'grad_norm': 2.6896867752075195, 'learning_rate': 1.572888888888889e-05, 'epoch': 0.64}
{'loss': 2.3987, 'grad_norm': 2.137904644012451, 'learning_rate': 1.5706666666666666e-05, 'epoch': 0.65}
{'loss': 2.4809, 'grad_norm': 3.084564208984375, 'learning_rate': 1.5684444444444447e-05, 'epoch': 0.65}
{'loss': 2.4997, 'grad_norm': 2.5597596168518066, 'learning_rate': 1.5662222222222222e-05, 'epoch': 0.65}
{'loss': 2.444, 'grad_norm': 3.142618417739868, 'learning_rate': 1.5640000000000003e-05, 'epoch': 0.66}
{'loss': 2.5122, 'grad_norm': 2.125014066696167, 'learning_rate': 1.5617777777777777e-05, 'epoch': 0.66}
{'loss': 2.3615, 'grad_norm': 2.095796823501587, 'learning_rate': 1.5595555555555558e-05, 'epoch': 0.66}
{'loss': 2.5234, 'grad_norm': 3.711582899093628, 'learning_rate': 1.5573333333333332e-05, 'epoch': 0.67}
{'loss': 2.4282, 'grad_norm': 3.971189498901367, 'learning_rate': 1.5551111111111113e-05, 'epoch': 0.67}
{'loss': 2.4093, 'grad_norm': 4.379566192626953, 'learning_rate': 1.552888888888889e-05, 'epoch': 0.67}
{'loss': 2.4879, 'grad_norm': 3.9389286041259766, 'learning_rate': 1.550666666666667e-05, 'epoch': 0.68}
{'loss': 2.5409, 'grad_norm': 4.639968395233154, 'learning_rate': 1.5484444444444446e-05, 'epoch': 0.68}
{'loss': 2.499, 'grad_norm': 2.3904685974121094, 'learning_rate': 1.5462222222222224e-05, 'epoch': 0.68}
{'loss': 2.5118, 'grad_norm': 2.104689121246338, 'learning_rate': 1.544e-05, 'epoch': 0.69}
{'loss': 2.4888, 'grad_norm': 2.358022928237915, 'learning_rate': 1.541777777777778e-05, 'epoch': 0.69}
{'loss': 2.4367, 'grad_norm': 1.6367954015731812, 'learning_rate': 1.5395555555555556e-05, 'epoch': 0.69}
{'loss': 2.4709, 'grad_norm': 2.483690023422241, 'learning_rate': 1.5373333333333334e-05, 'epoch': 0.7}
{'loss': 2.4453, 'grad_norm': 2.1780030727386475, 'learning_rate': 1.5351111111111112e-05, 'epoch': 0.7}
{'loss': 2.4581, 'grad_norm': 2.0204861164093018, 'learning_rate': 1.532888888888889e-05, 'epoch': 0.7}
{'loss': 2.5376, 'grad_norm': 1.8466557264328003, 'learning_rate': 1.5306666666666667e-05, 'epoch': 0.71}
{'loss': 2.4563, 'grad_norm': 2.2059743404388428, 'learning_rate': 1.5284444444444445e-05, 'epoch': 0.71}
{'loss': 2.4457, 'grad_norm': 2.0785598754882812, 'learning_rate': 1.5262222222222222e-05, 'epoch': 0.71}
{'loss': 2.4099, 'grad_norm': 3.140289068222046, 'learning_rate': 1.5240000000000001e-05, 'epoch': 0.72}
{'loss': 2.5007, 'grad_norm': 2.2322309017181396, 'learning_rate': 1.5217777777777777e-05, 'epoch': 0.72}
{'loss': 2.4652, 'grad_norm': 2.5981624126434326, 'learning_rate': 1.5195555555555557e-05, 'epoch': 0.72}
{'loss': 2.4321, 'grad_norm': 2.0832347869873047, 'learning_rate': 1.5173333333333336e-05, 'epoch': 0.73}
{'loss': 2.4201, 'grad_norm': 1.9979946613311768, 'learning_rate': 1.5151111111111112e-05, 'epoch': 0.73}
{'loss': 2.4664, 'grad_norm': 3.1720175743103027, 'learning_rate': 1.5128888888888891e-05, 'epoch': 0.73}
{'loss': 2.4602, 'grad_norm': 2.0878710746765137, 'learning_rate': 1.5106666666666667e-05, 'epoch': 0.74}
{'loss': 2.4511, 'grad_norm': 2.7445130348205566, 'learning_rate': 1.5084444444444446e-05, 'epoch': 0.74}
{'loss': 2.4466, 'grad_norm': 3.0915937423706055, 'learning_rate': 1.5062222222222222e-05, 'epoch': 0.74}
{'loss': 2.4531, 'grad_norm': 5.362154960632324, 'learning_rate': 1.5040000000000002e-05, 'epoch': 0.75}
{'loss': 2.5248, 'grad_norm': 4.513332366943359, 'learning_rate': 1.501777777777778e-05, 'epoch': 0.75}
{'loss': 2.4933, 'grad_norm': 2.5074830055236816, 'learning_rate': 1.4995555555555557e-05, 'epoch': 0.75}
{'loss': 2.5208, 'grad_norm': 1.993755578994751, 'learning_rate': 1.4973333333333335e-05, 'epoch': 0.76}
{'loss': 2.5295, 'grad_norm': 3.099644660949707, 'learning_rate': 1.4951111111111112e-05, 'epoch': 0.76}
{'loss': 2.4547, 'grad_norm': 2.288701295852661, 'learning_rate': 1.492888888888889e-05, 'epoch': 0.76}
